ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
640,"Spellcasting Contract, Lesser",Evocation,NULL,NULL,cleric 5,10 minutes,"V, S, F (a written contract)",0,Touch,NULL,NULL,Willing creature touched,Permanent until contractually terminated,0,0,Will negates (harmless),Yes (harmless),"This spell functions exactly like imbue with spell ability, except that you can imbue the target with any spell you have prepared (instead of just abjuration, divination, or conjuration [healing] spells) and the target may have more than one use of the im","<p>This spell functions exactly like <i>imbue with spell ability</i>, except that you can imbue the target with any spell you have prepared (instead of just abjuration, divination, or conjuration [healing] spells) and the target may have more than one use",AP 29,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Spellcasting Contract, Lesser</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric 5 (Asmodeus)</h5></div><hr/><div><h5><b>CASTING</b><",1,1,0,0,0,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Asmodeus,5,NULL,NULL,45,NULL,NULL,NULL,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/s/s/spellcasting-contract
641,Spellcasting Contract,Evocation,NULL,NULL,cleric 7,10 minutes,"V, S, F (a written contract)",0,Touch,NULL,NULL,Willing creature touched,Permanent until contractually terminated,0,0,Will negates (harmless),Yes (harmless),"This spell functions like lesser spellcasting contract, except if the target has 9 HD or more, you can imbue him with one or two 2ndlevel spells and one 3rd-level spell.","<p>This spell functions like <i>lesser spellcasting contract</i>, except if the target has 9 HD or more, you can imbue him with one or two 2ndlevel spells and one 3rd-level spell.</p>",AP 29,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Spellcasting Contract</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric 7 (Asmodeus)</h5></div><hr/><div><h5><b>CASTING</b></h5></di,1,1,0,0,0,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Asmodeus,7,NULL,NULL,91,NULL,NULL,NULL,91,NULL,2275,4550,68250,http://www.d20pfsrd.com/magic/all-spells/s/s/spellcasting-contract
642,"Spellcasting Contract, Greater",Evocation,NULL,NULL,cleric 9,10 minutes,"V, S, F (a written contract)",0,Touch,NULL,NULL,Willing creature touched,Permanent until contractually terminated,0,0,Will negates (harmless),Yes (harmless),"This spell functions like lesser spellcasting contract, except if the target has 13 HD or more you can imbue him with one or two 4thlevel spells and one 5th-level spell.","<p>This spell functions like <i>lesser spellcasting contract</i>, except if the target has 13 HD or more you can imbue him with one or two 4thlevel spells and one 5th-level spell.</p>",AP 29,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Spellcasting Contract, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric 9 (Asmodeus)</h5></div><hr/><div><h5><b>CASTING</b>",1,1,0,0,0,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Asmodeus,9,NULL,NULL,153,NULL,NULL,NULL,153,NULL,3825,7650,114750,http://www.d20pfsrd.com/magic/all-spells/s/s/spellcasting-contract
643,Ancestral Communion,Divination,NULL,NULL,"bard 2, cleric 2",1 minute,"V, S, F/DF (stone or metal image of your ancestor)",0,Personal,NULL,NULL,You,1 minute/level,0,0,None,No,"You contact the spirits of your ancestors and use their great wisdom to bolster your own knowledge. Consulting with the spirits is a full-round action. If you consult with the spirits before making a Knowledge check, you gain a +4 insight bonus on the che","<p>You contact the spirits of your ancestors and use their great wisdom to bolster your own knowledge. Consulting with the spirits is a full-round action. If you consult with the spirits before making a Knowledge check, you gain a +4 insight bonus on the ",DwarvesOfGolarion,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Ancestral Communion</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 2, cleric 2</h5></div><hr/><div><h5><b>CASTING</b></h5></div><h",1,1,0,0,1,NULL,NULL,2,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,6,NULL,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/a/a/ancestral-communion
644,Ancestral Gift,Conjuration,Summoning,NULL,"bard 4, cleric 4",1 standard action,"V, S, F/DF (stone or metal image of your ancestor)",0,Personal,NULL,Magical weapon,NULL,10 minutes/level,0,0,None,No,"A ghostly manifestation of one of your ancestors appears before you bearing a weapon of your choice in its hands. The weapon may be any simple, martial, or dwarven weapon. It has a +1 enhancement bonus and one weapon special ability (your choice) from the","<p>A ghostly manifestation of one of your ancestors appears before you bearing a weapon of your choice in its hands. The weapon may be any simple, martial, or dwarven weapon. It has a +1 enhancement bonus and one weapon special ability (your choice) from ",DwarvesOfGolarion,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Ancestral Gift</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>bard 4, cleric 4</h5></div><hr/><div><h5><b>CASTING</b></h5>",1,1,0,0,1,NULL,NULL,4,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,NULL,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/a/a/ancestral-gift
645,Summon Ancestral Guardian,Conjuration,Summoning,NULL,"bard 3, cleric 3",1 standard action,"V, S, F/DF (stone or metal image of your ancestor)",0,Medium (100 ft. + 10 ft./level),NULL,Two summoned ancestor spirits,NULL,1 round/level,1,0,None,Yes,"You call the spirits of two ancestors to manifest in the mortal world and attack your enemies. Each appears as a transparent image of a powerful, wise dwarf armed with a traditional dwarven weapon of your choice. These spirits move and attack at your dire","<p>You call the spirits of two ancestors to manifest in the mortal world and attack your enemies. Each appears as a transparent image of a powerful, wise dwarf armed with a traditional dwarven weapon of your choice. These spirits move and attack at your d",DwarvesOfGolarion,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Summon Ancestral Guardian</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>bard 3, cleric 3</h5></div><hr/><div><h5><b>CASTI",1,1,0,0,1,NULL,NULL,3,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,15,NULL,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/s/s/summon-ancestral-guardian
646,See Through Stone,Divination,NULL,NULL,"druid 4, ranger 3",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Creature touched,"Concentration, up to 1 round/level",1,0,Will negates (harmless),Yes (harmless),"You gain the ability to see through solid rock as if it were transparent glass. You may see through 1 foot of stone per caster level. You see within the stone as if you were looking at the area in normal light, even if there is no illumination, though low","<p>You gain the ability to see through solid rock as if it were transparent glass. You may see through 1 foot of stone per caster level. You see within the stone as if you were looking at the area in normal light, even if there is no illumination, though ",DwarvesOfGolarion,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>See Through Stone</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>druid 4, ranger 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr",1,1,0,0,1,NULL,NULL,NULL,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,NULL,NULL,21,21,NULL,525,1050,15750,http://www.d20pfsrd.com/magic/all-spells/s/s/see-through-stone
647,Rune of Durability,Transmutation,NULL,NULL,sorcerer/wizard 3,1 minute,"V, S, M (iron filings)",0,Touch,NULL,NULL,Weapon touched,Permanent,0,0,None,No,"You inscribe an angular rune upon the surface of a weapon, increasing its hit points. A weapon that bears this rune multiplies its hit points by 2, as if it were one size category larger than it actually is. Placing more than one rune of this type on a we","<p>You inscribe an angular rune upon the surface of a weapon, increasing its hit points. A weapon that bears this rune multiplies its hit points by 2, as if it were one size category larger than it actually is. Placing more than one rune of this type on a",DwarvesOfGolarion,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Rune of Durability</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div,1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,15,18,NULL,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/r/r/rune-of-durability
648,Rune of Warding,Abjuration,NULL,NULL,sorcerer/wizard 3,1 hour,"V, S, M (powdered adamantine, diamond, or mithral worth 200 gp)",1,Touch,NULL,NULL,Doorway or portal touched,Permanent until discharged,1,0,Reflex half,No (object) and yes (see text),"You inscribe a series of runes upon the surface of a door or around the border of an entryway. They function as a glyph of warding (blast glyph), though unlike a glyph of warding, these runes are always visible. The runes count as a glyph of warding for t","<p>You inscribe a series of runes upon the surface of a door or around the border of an entryway. They function as a <i>glyph of warding</i> (blast glyph), though unlike a <i>glyph of warding</i>, these runes are always visible. The runes count as a <i>gl",DwarvesOfGolarion,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Rune of Warding</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/>,1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,15,18,NULL,NULL,15,200,575,950,21250,http://www.d20pfsrd.com/magic/all-spells/r/r/rune-of-warding
649,Detect Charm,Divination,NULL,NULL,"bard 1, cleric 1, paladin 1, sorcerer/wizard 1",1 standard action,"V, S",0,60 ft.,Cone-shaped emanation,NULL,NULL,"Concentration, up to 1 minute/level",1,0,None,No,"As detect magic, except you immediately detect the strength and location of each charm, compulsion, and possession aura on all creatures in the area. You can attempt to identify the properties of each aura (see Spellcraft in the Pathfinder RPG Core Rulebo","<p>As <i>detect magic</i>, except you immediately detect the strength and location of each charm, compulsion, and possession aura on all creatures in the area. You can attempt to identify the properties of each aura (see Spellcraft in the <i>Pathfinder RP",Andoran,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Detect Charm</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 1, cleric 1, paladin 1, sorcerer/wizard 1</h5></div><hr/><div><h5><b>C",1,1,0,0,0,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,1,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/d/d/detect-charm
650,Liberating Comand,Transmutation,NULL,NULL,"bard 1, cleric 1, druid 1, paladin 1, ranger 1, sorcerer/wizard 1",1 immediate action,V,0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"If the target is bound, grappled, or otherwise restrained, he may make an Escape Artist check to escape as an immediate action. He gains a competence bonus on this check equal to twice your caster level (maximum +20). This spell has no effect if the targe","<p>If the target is bound, grappled, or otherwise restrained, he may make an Escape Artist check to escape as an immediate action. He gains a competence bonus on this check equal to twice your caster level (maximum +20). This spell has no effect if the ta",Andoran,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Liberating Comand</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 1, cleric 1, druid 1, paladin 1, ranger 1, sorcerer/wizard 1</",1,0,0,0,0,1,1,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,1,1,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/l/l/liberating-command
651,Suppress Charms and Compulsions,Abjuration,NULL,NULL,"bard 2, cleric 2, paladin 2, sorcerer/wizard 2",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"One creature plus one additional creature per 4 levels, no two of which can be more than 30 ft. apart",10 minutes; see text,0,0,Will negates (harmless),Yes (harmless),"As remove fear, except the targets gain a +4 morale bonus on saves against charm and compulsion effects, and charms and compulsions in effect on the targets are suppressed for the duration of the spell.","<p>As <i>remove fear</i>, except the targets gain a +4 morale bonus on saves against charm and compulsion effects, and charms and compulsions in effect on the targets are suppressed for the duration of the spell.</p>",Andoran,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Suppres Charms and Compulsions</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>bard 2, cleric 2, paladin 2, sorcerer/wizard 2</h5></div>",1,1,0,0,0,2,2,2,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/s/s/suppres-charms-and-compulsions
652,Summon Flight of Eagles,Conjuration,Summoning,NULL,"druid 6, ranger 4, sorcerer/wizard 6",1 round,"V, S, F (a gold feather worth 100 gp)",1,Close (25 ft. + 5 ft./2 levels),NULL,1d4+1 summoned creatures,NULL,1 minute/level,0,0,None,No,"You summon 1d4+1 giant eagles to serve as mounts for creatures you designate. The summoned birds do not fight independently, but they willingly carry their riders into battle as if trained for combat.","<p>You summon 1d4+1 giant eagles to serve as mounts for creatures you designate. The summoned birds do not fight independently, but they willingly carry their riders into battle as if trained for combat.</p>",Andoran,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Summon Flight of Eagles</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>druid 6, ranger 4, sorcerer/wizard 6</h5></div><hr/",1,1,0,0,0,6,6,NULL,6,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,66,72,NULL,40,40,NULL,1000,2000,30000,http://www.d20pfsrd.com/magic/all-spells/s/s/summon-flight-of-eagles
653,Genius Avaricious,Conjuration,Creation,evil,"cleric 6, sorcerer/wizard 6",10 minutes,"V, S, M (valuable o!erings; see text), F (one gold coin)",0,Touch,NULL,A vestige of the archdevil Mammon imbues a coin with a negotiable degree of power.,NULL,Instantaneous (see text),0,0,None,No,"Casting this spell constitutes performing a rite of sacrifice to the archdevil Mammon, making an o!ering to the Lord of Erebus and channeling a measure of his disembodied might into a single coin.  The power and abilities of this vestige correspond direct","<p>Casting this spell constitutes performing a rite of sacrifice to the archdevil Mammon, making an o!ering to the Lord of Erebus and channeling a measure of his disembodied might into a single coin.</p><p>The power and abilities of this vestige correspon",AP 30,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Genius Avaricious</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation evil); <b>Level </b>cleric 6, sorcerer/wizard 6</h5></div><hr/><div><h5><",1,1,1,0,0,6,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,66,72,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/g/g/genius-avaricious
654,Protection from Energy,Abjuration,NULL,NULL,"cleric 3, druid 3, ranger 2, sorcerer/wizard 3, alchemist 3, summoner 3, inquisitor 3",1 standard action,"V, S, DF",0,Touch,NULL,NULL,Creature touched,10 min./level or until discharged,0,0,Fortitude negates (harmless),Yes (harmless),"Protection from energy grants temporary immunity to the type of energy you specify when you cast it (acid, cold, electricity, fire, or sonic). When the spell absorbs 12 points per caster level of energy damage (to a maximum of 120 points at 10th level), i","<p><i>Protection from energy</i> grants temporary immunity to the type of energy you specify when you cast it (acid, cold, electricity, fire, or sonic). When the spell absorbs 12 points per caster level of energy damage (to a maximum of 120 points at 10th",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Protection from Energy</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>cleric 3, druid 3, ranger 2, sorcerer/wizard 3, alchemist 3, summ",1,1,0,0,1,3,3,3,3,2,NULL,NULL,3,3,NULL,3,NULL,NULL,NULL,NULL,3,"luck, protection",Absorb 12 points/level of damage from one kind of energy.,15,18,15,8,8,NULL,200,400,6000,http://www.d20pfsrd.com/magic/all-spells/p/protection-from-energy
